latitude,longitude,filename,sst,chlor_a,Kd_490
-28.968777,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.063011,0.346
-28.968777,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.7630386,0.3256
-28.968777,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.691034,0.3208
-28.968777,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.550499,0.3116
-28.968777,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.387535,0.3008
-28.968777,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.1307316,0.28419998
-28.968777,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.0606394,0.2798
-28.968777,32.03734,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.8802667,0.26839998
-28.968777,32.058556,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.6656,0.255
-28.968777,32.079773,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.50314,0.24499999
-28.968777,32.100994,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.616588,0.252
-28.958355,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.897748,0.48119998
-28.958355,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.0499988,0.4164
-28.958355,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.0219016,0.41439998
-28.958355,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.6616645,0.38799998
-28.958355,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.493902,0.3762
-28.958355,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.1938624,0.355
-28.958355,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.9864764,0.3408
-28.958355,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.0190797,0.343
-28.958355,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.8852215,0.334
-28.958355,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.538121,0.3108
-28.958355,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.609837,0.3154
-28.958355,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.3160067,0.2962
-28.958355,32.03734,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.9091096,0.27019998
-28.958355,32.058556,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.8545034,0.2668
-28.958355,32.079773,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.5506082,0.248
-28.958355,32.100994,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.5445192,0.24759999
-28.947933,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.336166,0.4378
-28.947933,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.746752,0.3942
-28.947933,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.6802135,0.38939998
-28.947933,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.1151795,0.3496
-28.947933,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.9767385,0.34019998
-28.947933,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.9591355,0.339
-28.947933,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.6558976,0.3186
-28.947933,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.6979475,0.3214
-28.947933,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.623999,0.3164
